,0
umo,0.033969879166557033
uo,0.1848624983454945
vmo,0.08739221282544869
vo,0.10632424457358425
wfo,0.22918375723139708
wmo,0.3933908335482906
wo,0.26877620103896555
zo2min,0.42629857738219584
zoocos,0.02524740359165267
zos,0.5650305748072508
zooc,0.025247403591652666
fbddtdife,-0.06099144969158157
fbddtdin,0.004610167717630943
fbddtdisi,-0.016148959596110877
nh4os,-0.0235483837819254
nh4,-0.0235483837819254
msftbarot,-0.5323822116990007
mlotst,0.10789652230369531
masscello,0.17672513847099025
limirrmisc,0.7160336175321796
fbddtdip,0.032821963328341315
limirrdiat,0.7030644445475507
intppdiat,0.1693008980328756
intpp,0.4813467837674194
intdic,0.5095671038704075
hfds,0.039734478802598824
fsn,0.13826209986496968
fsitherm,0.0038754704121674375
fsfe,0.13826209986496968
froc,0.020561482293368568
fric,0.08517212986588037
ficeberg,
fgo2,-0.08112611418148405
fgco2,-0.10346485789046445
intppmisc,0.5954544701326916
phyc,0.19241010959487748
phos,0.14247444515427615
ph,0.14247444515427612
pbo,0.49096865636375076
o2min,-0.7865243949623169
o2,-0.9472638288678374
obvfsq,
fbddtdic,-0.06629747416786655
no3os,-0.1662901551978921
no3,-0.1662901551978921
dfeos,-0.18093667709050731
phycos,0.1924101095948775
phydiat,-0.015822389780486015
phydiatos,-0.015822389780486012
phymiscos,0.41941862973904476
thkcello,0.17672513697849632
pp,0.20326205017743817
ppos,0.20326205017743817
rsntds,0.8672543157106875
sfdsi,-0.040005495679910914
si,-0.3784525621731354
phymisc,0.4194186297390447
po4,0.038091873372365796
po4os,0.03809187337236579
thetao,0.9999999944780126
tauvo,0.08471092776551829
tauuo,0.12565643985481323
spco2,0.2063044270413726
sos,0.4775197266408135
so,0.4775244416845604
sios,-0.3784525621731354
talk,0.7429799532373444
fbddtalk,-0.013247483004430695
dissoc,0.934557118480055
dissic,0.5167607850671296
dfe,-0.18093667709050734
epc100,0.30693230580393144
evs,0.8504054596535432
epsi100,0.06507363196411313
epfe100,0.1971781567490872
epcalc100,0.2808583193583166
dpo2,-0.16577166955911157
dpco2,-0.26522871048582264
agessc,0.013694976143836392
